[INFO] | 2024-11-10 07:38:57 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Analysis started at: 2024-11-10 07:38:57 AM
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Version constraints: ['0.4.24']
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | solc version: v0.4.24
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Callgraph generation started!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Value Range Analysis started
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Range graph generated
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Processed function constructor
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x9ecea0edc56f307cc343b2c8e3acb454d1faffda | Generating return summary for _transferOwnership
