[INFO] | 2024-11-10 07:39:50 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Analysis started at: 2024-11-10 07:39:50 AM
[INFO] | 2024-11-10 07:40:00 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Version constraints: ['0.4.25']
[INFO] | 2024-11-10 07:40:00 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | solc version: v0.4.25
[INFO] | 2024-11-10 07:40:23 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:23 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:23 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:26 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:26 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:27 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:27 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:27 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:27 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:27 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Range graph generated
[INFO] | 2024-11-10 07:40:27 AM | analyzer.0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5 | Processed function slitherConstructorConstantVariables
