[INFO] | 2024-11-10 07:38:41 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Analysis started at: 2024-11-10 07:38:41 AM
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | solc version: v0.4.21
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function transfer
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for setPeriod
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for setPeriod
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function setPeriod
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function fallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for initData
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for initData
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function initData
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for updateCurrentPeriod
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for updateCurrentPeriod
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function updateCurrentPeriod
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for tokenFallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for tokenFallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function tokenFallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | State variable assignement do not exist
