[INFO] | 2024-11-10 07:40:42 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Analysis started at: 2024-11-10 07:40:42 AM
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Version constraints: ['^0.4.4']
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | solc version: v0.4.4
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Callgraph generation started!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Value Range Analysis started
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Generating return summary for newCampaign
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Return summary generated for newCampaign
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Range graph generated
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Processed function newCampaign
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Generating return summary for contribute
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Return summary generated for contribute
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Processed function contribute
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Generating return summary for clean
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Return summary generated for clean
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Processed function clean
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Generating return summary for checkGoalReached
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Return summary generated for checkGoalReached
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Processed function checkGoalReached
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Value Range Analysis took 0.001237 seconds
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Value Range Analysis finished
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Dependency detection started!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Dependency detection finished!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Static Analysis took 0.932672 seconds
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Dependency does not exist
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Analysis finished!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Analysis took 0.932871 seconds
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0xefe2481c6801ae124925db7fabcba71dc6da4cba | Analysis finished at: 2024-11-10 07:40:43 AM

real	0m2.499s
user	0m3.857s
sys	0m2.859s
