[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Analysis started at: 2024-11-10 07:39:33 AM
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | solc version: v0.4.24
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Generating return summary for mul
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Return summary generated for mul
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Processed function mul
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Generating return summary for div
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Return summary generated for div
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Processed function div
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Generating return summary for sub
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Return summary generated for sub
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Processed function sub
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Generating return summary for add
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Return summary generated for add
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Processed function add
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Generating return summary for initUsers
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Return summary generated for initUsers
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Range graph generated
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Processed function initUsers
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Generating return summary for GetIdByAddr
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Return summary generated for GetIdByAddr
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Processed function GetIdByAddr
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Generating return summary for GetPlayerByUid
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Return summary generated for GetPlayerByUid
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Processed function GetPlayerByUid
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Generating return summary for GetPlanByUid
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Return summary generated for GetPlanByUid
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Processed function GetPlanByUid
[INFO] | 2024-11-10 07:39:38 AM | analyzer.0x13d6cfd3b119dadaadd7561fe9a864064259bc56 | Generating return summary for GetPlanTimeByUid
