[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Analysis started at: 2024-11-10 07:39:35 AM
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Version constraints: ['^0.4.8']
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | solc version: v0.4.8
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Callgraph generation started!
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Value Range Analysis started
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Generating return summary for transfer
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Return summary generated for transfer
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Processed function transfer
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Processed function balanceOf
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Generating return summary for setErc20TokensContract
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Return summary generated for setErc20TokensContract
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Range graph generated
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Processed function setErc20TokensContract
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Generating return summary for weiToFinney
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x24a57f642948e36e8f0ce0a4b3b940cbfe14bd4c | Return summary generated for weiToFinney
