[INFO] | 2024-11-10 08:37:51 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Analysis started at: 2024-11-10 08:37:51 AM
[INFO] | 2024-11-10 08:37:51 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 08:37:51 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | solc version: v0.4.25
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Callgraph generation started!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Callgraph generation finished!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Interprocedural CFG generation started!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Storage dependency graph generation started!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Storage dependency graph generation finished!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Value Range Analysis started
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Generating return summary for balanceOf
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Return summary generated for balanceOf
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Processed function balanceOf
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Generating return summary for Dividends
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Return summary generated for Dividends
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Range graph generated
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Processed function Dividends
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Generating return summary for admin
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Return summary generated for admin
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Range graph generated
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Processed function admin
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Generating return summary for out
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Return summary generated for out
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Processed function out
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Range graph generated
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Generating return summary for fallback
