[INFO] | 2024-11-10 07:38:53 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Analysis started at: 2024-11-10 07:38:53 AM
[WARNING] | 2024-11-10 07:38:57 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | pragma not found, returning highest available solc version: 0x1c1de57cc864072f7eab381c4c06b14a6963dd4b.sol
[INFO] | 2024-11-10 07:38:57 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Version constraints: []
[INFO] | 2024-11-10 07:38:57 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | solc version: v0.3.6
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Callgraph generation started!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Value Range Analysis started
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Processed function totalSupply
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Processed function balanceOf
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Processed function transfer
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Processed function transferFrom
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for approve
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for approve
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Processed function approve
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for allowance
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for allowance
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Processed function allowance
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for ERC20dex
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for ERC20dex
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Range graph generated
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Processed function ERC20dex
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for require
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for require
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Processed function require
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for assert
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for assert
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Processed function assert
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for get_minimum_trade
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for get_minimum_trade
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Processed function get_minimum_trade
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Generating return summary for get_maker_fee
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x1c1de57cc864072f7eab381c4c06b14a6963dd4b | Return summary generated for get_maker_fee
