[INFO] | 2024-11-10 07:38:55 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Analysis started at: 2024-11-10 07:38:55 AM
[INFO] | 2024-11-10 07:38:57 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:38:57 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | solc version: v0.4.24
[INFO] | 2024-11-10 07:38:57 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Callgraph generation started!
[INFO] | 2024-11-10 07:38:57 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:57 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Value Range Analysis started
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Range graph generated
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x8c73696a453f67ea5b7e5f2cd58ca0ad72ecaaeb | Generating return summary for mul
