[INFO] | 2024-11-10 07:38:02 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Analysis started at: 2024-11-10 07:38:02 AM
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | solc version: v0.4.23
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Callgraph generation started!
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Value Range Analysis started
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Processed function transfer
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Generating return summary for buy
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Return summary generated for buy
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Processed function buy
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Generating return summary for sell
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Return summary generated for sell
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:04 AM | analyzer.0x14c7f742d9a2fe6fe13fafbc1cb24be74ac5708d | Processed function sell
