[INFO] | 2024-11-10 07:38:46 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Analysis started at: 2024-11-10 07:38:46 AM
[INFO] | 2024-11-10 07:38:47 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:38:47 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | solc version: v0.4.25
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Range graph generated
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Generating return summary for pay
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Return summary generated for pay
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Range graph generated
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Processed function pay
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Generating return summary for getDeposit
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Return summary generated for getDeposit
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Processed function getDeposit
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Generating return summary for getDepositsCount
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Return summary generated for getDepositsCount
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Processed function getDepositsCount
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Generating return summary for getQueueLength
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Return summary generated for getQueueLength
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Processed function getQueueLength
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Generating return summary for slitherConstructorVariables
