[INFO] | 2024-11-10 07:38:15 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Analysis started at: 2024-11-10 07:38:15 AM
[INFO] | 2024-11-10 07:38:15 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:38:15 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | solc version: v0.4.18
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Processed function transfer
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:16 AM | analyzer.0xa584c5eaccb5dd4a5c0fc0a785dee952becc4c06 | Return summary generated for constructor
