[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Analysis started at: 2024-11-10 07:38:33 AM
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Version constraints: ['^0.5.0']
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | solc version: v0.5.0
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Generating return summary for zeroXSwap
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Return summary generated for zeroXSwap
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Processed function zeroXSwap
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Processed function fallback
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Value Range Analysis took 0.000650 seconds
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Dependency detection started!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Static Analysis took 0.670663 seconds
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Dependency does not exist
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Analysis finished!
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Analysis took 0.670921 seconds
[INFO] | 2024-11-10 07:38:34 AM | analyzer.0x82cc62a5441c4df93acf0d2cf63e25060289e847 | Analysis finished at: 2024-11-10 07:38:34 AM

real	0m2.539s
user	0m3.316s
sys	0m2.082s
