[INFO] | 2024-11-10 07:39:57 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Analysis started at: 2024-11-10 07:39:57 AM
[INFO] | 2024-11-10 07:39:57 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:39:57 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | solc version: v0.4.25
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Callgraph generation started!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Value Range Analysis started
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Generating return summary for CB_BANK
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Return summary generated for CB_BANK
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Range graph generated
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Processed function CB_BANK
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Range graph generated
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Range graph generated
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Processed function AddMessage
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Generating return summary for Put
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Return summary generated for Put
