[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Analysis started at: 2024-11-10 07:38:30 AM
[INFO] | 2024-11-10 07:38:31 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:38:31 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | solc version: v0.4.18
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Callgraph generation started!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Value Range Analysis started
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Processed function transfer
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Generating return summary for Crowdsale
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Return summary generated for Crowdsale
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Range graph generated
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Processed function Crowdsale
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Range graph generated
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Generating return summary for afterDeadline
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Return summary generated for afterDeadline
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Processed function afterDeadline
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Range graph generated
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Processed function fallback
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Generating return summary for checkGoalReached
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Return summary generated for checkGoalReached
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Range graph generated
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Processed function checkGoalReached
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Generating return summary for safeWithdrawal
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Return summary generated for safeWithdrawal
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Range graph generated
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Processed function safeWithdrawal
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Value Range Analysis took 0.004092 seconds
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Dependency detection started!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Dependency detection finished!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Static Analysis took 1.275237 seconds
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Dependency does not exist
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Analysis finished!
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Analysis took 1.275517 seconds
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x950ad688ade27bcaa6e890e9d86ba5a9293f4d8c | Analysis finished at: 2024-11-10 07:38:32 AM
