[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Analysis started at: 2024-11-10 07:37:07 AM
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | solc version: v0.4.21
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Callgraph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Value Range Analysis started
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Processed function totalSupply
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Processed function balanceOf
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Processed function transfer
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x967719548b8385be3c21ee96bdc57b9409b501cb | Return summary generated for constructor
