[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Analysis started at: 2024-11-10 07:37:38 AM
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Version constraints: ['^0.4.16']
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | solc version: v0.4.16
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Processed function transfer
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Generating return summary for Crowdsale
