[INFO] | 2024-11-10 07:38:26 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Analysis started at: 2024-11-10 07:38:26 AM
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | solc version: v0.4.21
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Generating return summary for mul
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Return summary generated for mul
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Processed function mul
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Generating return summary for div
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Return summary generated for div
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Processed function div
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Generating return summary for sub
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Return summary generated for sub
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Processed function sub
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Generating return summary for add
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Return summary generated for add
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Processed function add
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Generating return summary for TokenERC20
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Return summary generated for TokenERC20
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Range graph generated
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Processed function TokenERC20
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Generating return summary for gettw
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Return summary generated for gettw
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Processed function gettw
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Generating return summary for getthis
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Return summary generated for getthis
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Processed function getthis
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Generating return summary for getamount
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | Return summary generated for getamount
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xd5e5ab3438c14a6c823886baa24d8f41636b1d34 | State variable assignement do not exist
