[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Analysis started at: 2024-11-10 08:06:20 AM
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | solc version: v0.4.25
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Callgraph generation started!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Callgraph generation finished!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Interprocedural CFG generation started!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Storage dependency graph generation started!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Storage dependency graph generation finished!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Value Range Analysis started
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Range graph generated
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Generating return summary for fallback
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Return summary generated for fallback
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Range graph generated
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Processed function fallback
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Range graph generated
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Value Range Analysis took 0.002027 seconds
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Value Range Analysis finished
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Storage dependency graph compostion started!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Dependency detection started!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Dependency detection finished!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Static Analysis took 0.709343 seconds
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Dependency does not exist
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Symbolic execution is not needed!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Analysis finished!
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Analysis took 0.709578 seconds
[INFO] | 2024-11-10 08:06:20 AM | analyzer.0x20c476bb4c7aa64f919278fb9c09e880583beb4c | Analysis finished at: 2024-11-10 08:06:20 AM
