[INFO] | 2024-11-10 07:38:21 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Analysis started at: 2024-11-10 07:38:21 AM
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | solc version: v0.4.21
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function balanceOf
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function transfer
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function balanceOf
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function transfer
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Range graph generated
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function Ownable
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Range graph generated
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function Ownable
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for KittenSelfDrop2
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for KittenSelfDrop2
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Range graph generated
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function KittenSelfDrop2
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for participant
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for participant
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function participant
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for donatorBonus
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for donatorBonus
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function donatorBonus
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Range graph generated
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Processed function fallback
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Generating return summary for setDropNumber
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x3f513977cd827428e0459fdef7217cd6272dc893 | Return summary generated for setDropNumber
