[INFO] | 2024-11-10 07:37:49 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Analysis started at: 2024-11-10 07:37:49 AM
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Version constraints: ['^0.4.17']
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | solc version: v0.4.17
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Processed function transfer
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Generating return summary for allowance
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Return summary generated for allowance
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Processed function allowance
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Generating return summary for approve
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Return summary generated for approve
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Processed function approve
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Processed function transferFrom
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Generating return summary for KlownGasDrop
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Return summary generated for KlownGasDrop
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Range graph generated
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Processed function KlownGasDrop
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Generating return summary for hasReceived
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Return summary generated for hasReceived
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xc7bd5dac314a67a375a0347d72797c2ea1f1a672 | Processed function hasReceived
