[INFO] | 2024-11-10 07:37:44 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Analysis started at: 2024-11-10 07:37:44 AM
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Version constraints: ['^0.4.15']
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | solc version: v0.4.15
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Generating return summary for mul
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Return summary generated for mul
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Processed function mul
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Generating return summary for div
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Return summary generated for div
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Processed function div
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Generating return summary for sub
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Return summary generated for sub
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Processed function sub
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Generating return summary for add
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Return summary generated for add
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Processed function add
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Range graph generated
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Generating return summary for mul
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Return summary generated for mul
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Processed function mul
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Generating return summary for div
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Return summary generated for div
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x675c807fe3cf4fcc51b5c739b4bb910b0009ccb1 | Processed function div
