[INFO] | 2024-11-10 07:37:51 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Analysis started at: 2024-11-10 07:37:51 AM
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Callgraph generation started!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Value Range Analysis started
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Range graph generated
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Processed function constructor
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Generating return summary for _transferOwnership
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Return summary generated for _transferOwnership
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Range graph generated
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Processed function _transferOwnership
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Processed function totalSupply
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Processed function balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c | Processed function transfer
