[INFO] | 2024-11-10 07:38:58 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Analysis started at: 2024-11-10 07:38:58 AM
[INFO] | 2024-11-10 07:39:01 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:39:01 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | solc version: v0.4.11
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Callgraph generation started!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Value Range Analysis started
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Range graph generated
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Range graph generated
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Generating return summary for getBonusFactor
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Return summary generated for getBonusFactor
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Processed function getBonusFactor
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Generating return summary for mul
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Return summary generated for mul
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Processed function mul
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Generating return summary for div
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Return summary generated for div
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Processed function div
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Generating return summary for sub
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Return summary generated for sub
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Processed function sub
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Generating return summary for add
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Return summary generated for add
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Processed function add
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Processed function balanceOf
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Generating return summary for transfer
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | Return summary generated for transfer
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a | State variable assignement do not exist
