[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Analysis started at: 2024-11-10 07:37:45 AM
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | solc version: v0.4.25
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Generating return summary for WWW_WALLET
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Return summary generated for WWW_WALLET
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Range graph generated
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Processed function WWW_WALLET
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Range graph generated
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Range graph generated
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Processed function AddMessage
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Generating return summary for Put
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Return summary generated for Put
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Range graph generated
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Processed function Put
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Generating return summary for Collect
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Return summary generated for Collect
