[INFO] | 2024-11-10 07:37:22 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Analysis started at: 2024-11-10 07:37:22 AM
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Processed function transfer
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Generating return summary for mul
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Return summary generated for mul
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Processed function mul
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Generating return summary for div
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Return summary generated for div
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Processed function div
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Generating return summary for sub
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Return summary generated for sub
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Processed function sub
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Generating return summary for add
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | Return summary generated for add
[INFO] | 2024-11-10 07:37:29 AM | analyzer.0xc64fd3ff188c4f1f1e34bbff54f67d8c88175696 | State variable assignement do not exist
