[INFO] | 2024-11-10 07:41:39 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Analysis started at: 2024-11-10 07:41:39 AM
[INFO] | 2024-11-10 07:41:47 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:41:47 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | solc version: v0.4.24
[INFO] | 2024-11-10 07:41:55 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Callgraph generation started!
[INFO] | 2024-11-10 07:41:55 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:55 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Value Range Analysis started
[INFO] | 2024-11-10 07:41:57 AM | analyzer.0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e | Generating return summary for slitherConstructorConstantVariables
