[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Analysis started at: 2024-11-10 07:37:08 AM
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | solc version: v0.4.25
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Range graph generated
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Generating return summary for pay
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Return summary generated for pay
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Range graph generated
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Processed function pay
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Generating return summary for push
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Return summary generated for push
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Range graph generated
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Processed function push
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Generating return summary for getDeposit
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Return summary generated for getDeposit
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Processed function getDeposit
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Generating return summary for getDepositsCount
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Return summary generated for getDepositsCount
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Processed function getDepositsCount
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Generating return summary for getQueueLength
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Return summary generated for getQueueLength
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x84cd9cf60bcb44f7bab8b75e6f03614c2c3b22b7 | Processed function getQueueLength
