[INFO] | 2024-11-10 07:40:10 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Analysis started at: 2024-11-10 07:40:10 AM
[INFO] | 2024-11-10 07:40:16 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Version constraints: ['0.5.17']
[INFO] | 2024-11-10 07:40:16 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | solc version: v0.5.17
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Range graph generated
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Range graph generated
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Generating return summary for add
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Return summary generated for add
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Processed function add
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Generating return summary for sub
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Return summary generated for sub
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Processed function sub
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Generating return summary for mul
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | Return summary generated for mul
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x2daae64cc8516187c9d2ab209f3faa2f83b246e1 | State variable assignement do not exist
