[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Analysis started at: 2024-11-10 07:37:07 AM
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | solc version: v0.4.25
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Callgraph generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Value Range Analysis started
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Range graph generated
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Processed function constructor
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Processed function balanceOf
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Generating return summary for ownerOf
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Return summary generated for ownerOf
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Processed function ownerOf
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Generating return summary for approve
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Return summary generated for approve
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Processed function approve
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Generating return summary for getApproved
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Return summary generated for getApproved
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Processed function getApproved
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Generating return summary for setApprovalForAll
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Return summary generated for setApprovalForAll
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Processed function setApprovalForAll
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Generating return summary for isApprovedForAll
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Return summary generated for isApprovedForAll
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Processed function isApprovedForAll
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x2c125240e472e752bcfd1627ff7632b6c5265b2e | Generating return summary for transferFrom
