[INFO] | 2024-11-10 07:41:40 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Analysis started at: 2024-11-10 07:41:40 AM
[INFO] | 2024-11-10 07:41:42 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Version constraints: ['0.4.24']
[INFO] | 2024-11-10 07:41:42 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | solc version: v0.4.24
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Range graph generated
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Processed function constructor
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:41:44 AM | analyzer.0x1056f5436dc817e28a24c509ff26f5912b837214 | Return summary generated for onlyOwner
