[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Analysis started at: 2024-11-10 07:37:55 AM
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Version constraints: ['0.4.26']
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | solc version: v0.4.26
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Callgraph generation started!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Value Range Analysis started
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Range graph generated
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Generating return summary for min
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Return summary generated for min
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Processed function min
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x10819fae72282b9a594e34c647a7bc446ef4ad2e | Generating return summary for requireNotZero
