[INFO] | 2024-11-10 07:44:13 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Analysis started at: 2024-11-10 07:44:13 AM
[INFO] | 2024-11-10 07:44:13 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:44:13 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | solc version: v0.4.19
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Callgraph generation started!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Callgraph generation finished!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Value Range Analysis started
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for transfer
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for transfer
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function transfer
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function balanceOf
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for mul
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for mul
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function mul
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for div
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for div
