[INFO] | 2024-11-10 07:38:16 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Analysis started at: 2024-11-10 07:38:16 AM
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Version constraints: ['^0.4.17']
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | solc version: v0.4.17
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Range graph generated
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Processed function Ownable
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Range graph generated
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Processed function Ownable
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Generating return summary for takeOver
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Return summary generated for takeOver
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Range graph generated
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Processed function takeOver
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Generating return summary for setManager
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | Return summary generated for setManager
[INFO] | 2024-11-10 07:38:17 AM | analyzer.0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9 | State variable assignement do not exist
