[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Analysis started at: 2024-11-10 07:37:39 AM
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | solc version: v0.4.11
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function transfer
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for haltPurchases
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for haltPurchases
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Range graph generated
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function haltPurchases
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for resumePurchases
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for resumePurchases
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Range graph generated
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function resumePurchases
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for updateAvailability
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for updateAvailability
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Range graph generated
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function updateAvailability
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for updatePrice
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for updatePrice
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Range graph generated
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function updatePrice
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for purchase
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for purchase
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Range graph generated
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function purchase
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Range graph generated
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function slitherConstructorVariables
