[INFO] | 2024-11-10 07:37:19 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Analysis started at: 2024-11-10 07:37:19 AM
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | solc version: v0.4.18
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Generating return summary for mul
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Return summary generated for mul
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Processed function mul
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Generating return summary for div
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Return summary generated for div
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Processed function div
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Generating return summary for sub
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Return summary generated for sub
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Processed function sub
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Generating return summary for add
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Return summary generated for add
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Processed function add
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Range graph generated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Processed function Ownable
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x969f99f3d3cb00d84634ec1ef2b8ba506955b1f7 | State variable assignement do not exist
