[INFO] | 2024-11-10 07:37:32 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Analysis started at: 2024-11-10 07:37:32 AM
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | solc version: v0.4.11
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Range graph generated
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Generating return summary for GET_MAX_UINT256
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Return summary generated for GET_MAX_UINT256
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Processed function GET_MAX_UINT256
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Generating return summary for div
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Return summary generated for div
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Processed function div
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Generating return summary for max64
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Return summary generated for max64
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Processed function max64
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Generating return summary for min64
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Return summary generated for min64
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Processed function min64
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Generating return summary for max256
[INFO] | 2024-11-10 07:37:35 AM | analyzer.0x5211475520dc4a13fee1cc7c2c0c1167998bcbb8 | Return summary generated for max256
