[INFO] | 2024-09-29 03:54:23 AM | analyzer.dot-pdf | Analysis started at: 2024-09-29 03:54:23 AM
[INFO] | 2024-09-29 03:54:23 AM | analyzer.dot-pdf | Version constraints: ['0.4.24']
[INFO] | 2024-09-29 03:54:23 AM | analyzer.dot-pdf | solc version: v0.4.24
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Callgraph generation started!
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Callgraph generation finished!
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Interprocedural CFG generation started!
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Interprocedural CFG generation finished!
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Storage dependency graph generation started!
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Storage dependency graph generation finished!
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Value Range Analysis started
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Generating return summary for simple
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Return summary generated for simple
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Range graph generated
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Processed function simple
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Generating return summary for non_buggy_multi_call_if_1
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Return summary generated for non_buggy_multi_call_if_1
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Range graph generated
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Processed function non_buggy_multi_call_if_1
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Generating return summary for buggy_multi_call_if_2
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Return summary generated for buggy_multi_call_if_2
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Range graph generated
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Processed function buggy_multi_call_if_2
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Generating return summary for buggy_multi_call_if_3
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Return summary generated for buggy_multi_call_if_3
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Range graph generated
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Processed function buggy_multi_call_if_3
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Generating return summary for non_buggy_multi_call_if_2
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Return summary generated for non_buggy_multi_call_if_2
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Range graph generated
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Processed function non_buggy_multi_call_if_2
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Generating return summary for non_buggy_multi_call_if_3
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Return summary generated for non_buggy_multi_call_if_3
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Range graph generated
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Processed function non_buggy_multi_call_if_3
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Generating return summary for buggy_simple_require
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Return summary generated for buggy_simple_require
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | State variable assignement do not exist
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Processed function buggy_simple_require
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Value Range Analysis took 0.011008 seconds
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Value Range Analysis finished
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Storage dependency graph compostion started!
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Storage dependency graph compostion finished!
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | Dependency detection started!
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions simple and simple
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions simple and non_buggy_multi_call_if_1
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions simple and buggy_multi_call_if_2
[INFO] | 2024-09-29 03:54:24 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions simple and buggy_multi_call_if_3
[INFO] | 2024-09-29 03:54:25 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions simple and non_buggy_multi_call_if_2
[INFO] | 2024-09-29 03:54:25 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions simple and non_buggy_multi_call_if_3
[INFO] | 2024-09-29 03:54:25 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions simple and buggy_simple_require
[INFO] | 2024-09-29 03:54:25 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions non_buggy_multi_call_if_1 and simple
[INFO] | 2024-09-29 03:54:25 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions non_buggy_multi_call_if_1 and simple
[INFO] | 2024-09-29 03:54:25 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions non_buggy_multi_call_if_1 and non_buggy_multi_call_if_1
[INFO] | 2024-09-29 03:54:26 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions non_buggy_multi_call_if_1 and buggy_multi_call_if_2
[INFO] | 2024-09-29 03:54:26 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions non_buggy_multi_call_if_1 and buggy_multi_call_if_3
[INFO] | 2024-09-29 03:54:27 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions non_buggy_multi_call_if_1 and non_buggy_multi_call_if_2
[INFO] | 2024-09-29 03:54:27 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions non_buggy_multi_call_if_1 and non_buggy_multi_call_if_3
[INFO] | 2024-09-29 03:54:28 AM | analyzer.dot-pdf | DAO dependency detected in file dot-pdf.sol in contract SimpleDAO in by composing functions non_buggy_multi_call_if_1 and buggy_simple_require
