[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Analysis started at: 2024-11-10 07:39:02 AM
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Version constraints: ['^0.5.9']
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | solc version: v0.5.9
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Callgraph generation started!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Value Range Analysis started
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Range graph generated
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Processed function constructor
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Generating return summary for fallback
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Return summary generated for fallback
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Processed function fallback
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Generating return summary for onlyImplementation
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Return summary generated for onlyImplementation
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Processed function onlyImplementation
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Generating return summary for drain
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Return summary generated for drain
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Processed function drain
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Value Range Analysis took 0.001078 seconds
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Dependency detection started!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Dependency detection finished!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Static Analysis took 0.704307 seconds
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Dependency does not exist
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Analysis finished!
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Analysis took 0.704541 seconds
[INFO] | 2024-11-10 07:39:02 AM | analyzer.0x95e7ab2a7a120ceac7bcdb945367e41ff106e3cf | Analysis finished at: 2024-11-10 07:39:02 AM
