[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Analysis started at: 2024-11-10 07:38:50 AM
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | solc version: v0.4.19
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Callgraph generation started!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Value Range Analysis started
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Processed function transfer
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Generating return summary for Crowdsale
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Return summary generated for Crowdsale
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Range graph generated
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Processed function Crowdsale
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x1bd367eeb05d9c7f8b5ba488df1878d9b983ebfd | Range graph generated
