[INFO] | 2024-11-10 07:39:20 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Analysis started at: 2024-11-10 07:39:20 AM
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Version constraints: ['^0.4.18', '^0.4.11', '^0.4.18']
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | solc version: v0.4.18
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Callgraph generation started!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Value Range Analysis started
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Generating return summary for SetupToken
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Return summary generated for SetupToken
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Processed function SetupToken
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Processed function balanceOf
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Generating return summary for transfer
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Return summary generated for transfer
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Processed function transfer
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x26436e73fdd02adde8ae7ab61fa660d6f7926e6f | Return summary generated for transferFrom
