[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Analysis started at: 2024-11-10 07:37:06 AM
[INFO] | 2024-11-10 07:37:13 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:13 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:24 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Callgraph generation started!
[INFO] | 2024-11-10 07:37:24 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:24 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Value Range Analysis started
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Generating return summary for supportsInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Return summary generated for supportsInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Processed function supportsInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Generating return summary for supportsInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Return summary generated for supportsInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Processed function supportsInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Generating return summary for supportsInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Return summary generated for supportsInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Processed function supportsInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Generating return summary for _registerInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Return summary generated for _registerInterface
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x1806b3527c18fb532c46405f6f014c1f381b499a | Range graph generated
