[INFO] | 2024-11-10 07:40:37 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Analysis started at: 2024-11-10 07:40:37 AM
[INFO] | 2024-11-10 07:40:38 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Version constraints: ['^0.4.0']
[INFO] | 2024-11-10 07:40:38 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | solc version: v0.4.0
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Callgraph generation started!
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Value Range Analysis started
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for transfer
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for transfer
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function transfer
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for CrypteloPreSale
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for CrypteloPreSale
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Range graph generated
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function CrypteloPreSale
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for forwardFunds
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for forwardFunds
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function forwardFunds
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for getTotalVesting
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for getTotalVesting
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function getTotalVesting
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for getTotalDistributed
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for getTotalDistributed
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function getTotalDistributed
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for checkMyTokens
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for checkMyTokens
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function checkMyTokens
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for checkMyVestingPeriod
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for checkMyVestingPeriod
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function checkMyVestingPeriod
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for refund
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for refund
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function refund
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for addWhiteList
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for addWhiteList
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Range graph generated
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function addWhiteList
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for removeWhiteList
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for removeWhiteList
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Range graph generated
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function removeWhiteList
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for isWhiteList
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for isWhiteList
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function isWhiteList
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for withdrawAllEther
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for withdrawAllEther
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function withdrawAllEther
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for sub
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for sub
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function sub
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for add
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for add
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function add
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for div
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for div
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function div
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for mul
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for mul
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function mul
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Generating return summary for sendTokens
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Return summary generated for sendTokens
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:39 AM | analyzer.0xefcc5dcaba4a93046b5f5c24c1281c685154214c | Processed function sendTokens
