[INFO] | 2024-11-10 07:39:49 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Analysis started at: 2024-11-10 07:39:49 AM
[INFO] | 2024-11-10 07:39:51 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:39:51 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | solc version: v0.4.25
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Callgraph generation started!
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Value Range Analysis started
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Range graph generated
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Processed function constructor
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Generating return summary for _transferOwnership
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Return summary generated for _transferOwnership
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Range graph generated
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Processed function _transferOwnership
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Processed function onlyOwner
[INFO] | 2024-11-10 07:39:52 AM | analyzer.0x308af1c4759dcb9f2ac2accdcd301862702df40f | Generating return summary for constructor
