[INFO] | 2024-11-10 07:39:59 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Analysis started at: 2024-11-10 07:39:59 AM
[INFO] | 2024-11-10 07:40:00 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:40:00 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | solc version: v0.4.13
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Generating return summary for mul
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Return summary generated for mul
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Processed function mul
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Generating return summary for div
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Return summary generated for div
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Processed function div
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Generating return summary for sub
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Return summary generated for sub
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Processed function sub
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Generating return summary for add
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Return summary generated for add
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Processed function add
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Generating return summary for max64
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Return summary generated for max64
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Processed function max64
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Generating return summary for min64
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Return summary generated for min64
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Processed function min64
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Generating return summary for max256
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Return summary generated for max256
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Processed function max256
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Generating return summary for min256
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Return summary generated for min256
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Processed function min256
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Generating return summary for transfer
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | Return summary generated for transfer
[INFO] | 2024-11-10 07:40:01 AM | analyzer.0x30919c5c5c7727eea89b110d7258cbb36d541377 | State variable assignement do not exist
