[INFO] | 2024-11-10 07:38:26 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Analysis started at: 2024-11-10 07:38:26 AM
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | solc version: v0.4.19
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Range graph generated
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for GOOGToken
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for GOOGToken
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Range graph generated
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function GOOGToken
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Range graph generated
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function transfer
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for approve
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for approve
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Range graph generated
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function approve
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Range graph generated
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function transferFrom
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for burn
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for burn
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Range graph generated
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function burn
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for burnFrom
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for burnFrom
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Range graph generated
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function burnFrom
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Range graph generated
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for GOOGTokenSale
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for GOOGTokenSale
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Range graph generated
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function GOOGTokenSale
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for multiply
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for multiply
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function multiply
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for divide
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Return summary generated for divide
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Processed function divide
[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xa97e65fbb5d1f9698a78f55e3a3529a74417ae69 | Generating return summary for setPrice
