[INFO] | 2024-11-10 08:37:37 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Analysis started at: 2024-11-10 08:37:37 AM
[INFO] | 2024-11-10 08:37:39 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 08:37:39 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | solc version: v0.4.18
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Callgraph generation started!
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Callgraph generation finished!
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Storage dependency graph generation started!
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Value Range Analysis started
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for safeAdd
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for safeAdd
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function safeAdd
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for safeSub
[WARNING] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for safeSub
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function safeSub
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for safeMul
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for safeMul
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function safeMul
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for safeDiv
[WARNING] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for safeDiv
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function safeDiv
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for totalSupply
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for totalSupply
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function totalSupply
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for balanceOf
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for balanceOf
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function balanceOf
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for allowance
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for allowance
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function allowance
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for transfer
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for transfer
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function transfer
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for approve
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for approve
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function approve
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for transferFrom
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for transferFrom
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function transferFrom
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Generating return summary for receiveApproval
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Return summary generated for receiveApproval
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | State variable assignement do not exist
[INFO] | 2024-11-10 08:37:41 AM | analyzer.0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9 | Processed function receiveApproval
