[INFO] | 2024-11-10 07:38:29 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Analysis started at: 2024-11-10 07:38:29 AM
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Version constraints: ['>=0.4.22', '<0.6.0']
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | solc version: v0.4.22
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Processed function transfer
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Range graph generated
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Processed function constructor
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Range graph generated
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Range graph generated
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Processed function fallback
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Value Range Analysis took 0.004242 seconds
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Dependency detection started!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Static Analysis took 1.282317 seconds
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Dependency does not exist
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Analysis finished!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Analysis took 1.282609 seconds
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0x78e6d2bfe731e578a50a4129df89bb4950591d18 | Analysis finished at: 2024-11-10 07:38:30 AM

real	0m3.161s
user	0m3.900s
sys	0m2.125s
