[INFO] | 2024-11-10 07:39:21 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Analysis started at: 2024-11-10 07:39:21 AM
[INFO] | 2024-11-10 07:39:30 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Version constraints: ['0.4.25', '>=0.4.18']
[INFO] | 2024-11-10 07:39:30 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | solc version: v0.4.25
[INFO] | 2024-11-10 07:39:43 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Callgraph generation started!
[INFO] | 2024-11-10 07:39:43 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:43 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Value Range Analysis started
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Range graph generated
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Range graph generated
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Range graph generated
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Generating return summary for query
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Return summary generated for query
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Processed function query
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Generating return summary for query_withGasLimit
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x0c78003843b4a72b765938cb3b14aecb188dbc6a | Return summary generated for query_withGasLimit
