[INFO] | 2024-11-10 07:38:01 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Analysis started at: 2024-11-10 07:38:01 AM
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | solc version: v0.4.21
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Processed function transfer
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Generating return summary for buy
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Return summary generated for buy
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Processed function buy
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Processed function withdraw
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Generating return summary for myTokens
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Return summary generated for myTokens
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Processed function myTokens
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Generating return summary for myDividends
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Return summary generated for myDividends
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Processed function myDividends
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Range graph generated
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Processed function constructor
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Generating return summary for acceptOwnership
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xa5629861c9c345f50221996ef852fd9665eb1c05 | Return summary generated for acceptOwnership
