[INFO] | 2024-11-10 07:37:04 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Analysis started at: 2024-11-10 07:37:04 AM
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Version constraints: ['0.4.24']
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Range graph generated
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Generating return summary for mul
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Return summary generated for mul
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Processed function mul
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Generating return summary for add
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Return summary generated for add
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Processed function add
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132 | Processed function balanceOf
