[INFO] | 2024-11-10 07:43:14 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Analysis started at: 2024-11-10 07:43:14 AM
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | solc version: v0.4.25
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Callgraph generation started!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Callgraph generation finished!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Value Range Analysis started
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Range graph generated
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for payToMarketingReferral
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for payToMarketingReferral
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function payToMarketingReferral
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for bytesToAddress
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for bytesToAddress
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function bytesToAddress
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for mul
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for mul
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function mul
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for add
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for add
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function add
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for sub
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for sub
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | State variable assignement do not exist
