[INFO] | 2024-11-10 07:38:38 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Analysis started at: 2024-11-10 07:38:38 AM
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Version constraints: ['^0.4.17']
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | solc version: v0.4.17
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Callgraph generation started!
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Value Range Analysis started
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Generating return summary for mul
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Return summary generated for mul
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Processed function mul
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Generating return summary for div
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc | Return summary generated for div
