[INFO] | 2024-11-10 07:37:15 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Analysis started at: 2024-11-10 07:37:15 AM
[INFO] | 2024-11-10 07:37:16 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:37:16 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | solc version: v0.4.21
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Generating return summary for owned
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Return summary generated for owned
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Range graph generated
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Processed function owned
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Processed function transfer
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Generating return summary for owned
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Return summary generated for owned
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Range graph generated
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Processed function owned
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Generating return summary for bonus
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Return summary generated for bonus
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Processed function bonus
[INFO] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Generating return summary for isContract
[WARNING] | 2024-11-10 07:37:17 AM | analyzer.0xab32cdd8d4796f5ae968ac176b3cc54a3200c723 | Can there be this kind of variables
