[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Analysis started at: 2024-11-10 07:37:06 AM
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | solc version: v0.4.25
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Callgraph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Value Range Analysis started
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Range graph generated
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Range graph generated
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Processed function constructor
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Processed function fallback
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Generating return summary for getName
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Return summary generated for getName
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Processed function getName
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Generating return summary for getEarnings
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Return summary generated for getEarnings
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Processed function getEarnings
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Generating return summary for myReferee
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Return summary generated for myReferee
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Processed function myReferee
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Generating return summary for getReferee
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Return summary generated for getReferee
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Processed function getReferee
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Generating return summary for getRefereeAddress
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Return summary generated for getRefereeAddress
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x132e2b67e91bf0294536b16d772e8dee099fc40c | Processed function getRefereeAddress
