[INFO] | 2024-11-10 07:37:31 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Analysis started at: 2024-11-10 07:37:31 AM
[INFO] | 2024-11-10 07:37:33 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:37:33 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | solc version: v0.4.21
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Processed function transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Generating return summary for setPeriod
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Return summary generated for setPeriod
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Range graph generated
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Processed function setPeriod
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Processed function fallback
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xa27f262391913a5e21216c70de5358a1e887de25 | Generating return summary for initData
