[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Analysis started at: 2024-11-10 07:37:26 AM
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Version constraints: ['0.5.11']
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | solc version: v0.5.11
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Generating return summary for purchases
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Return summary generated for purchases
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Processed function purchases
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Generating return summary for predictPacks
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Return summary generated for predictPacks
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Processed function predictPacks
[INFO] | 2024-11-10 07:37:28 AM | analyzer.0x5f38c57b268664015de387229bc9d3822b53ec32 | Generating return summary for convertPurity
