[INFO] | 2024-11-10 07:41:10 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Analysis started at: 2024-11-10 07:41:10 AM
[INFO] | 2024-11-10 07:41:10 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Version constraints: ['^0.4.14']
[INFO] | 2024-11-10 07:41:10 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | solc version: v0.4.14
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Callgraph generation started!
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Value Range Analysis started
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for add
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for add
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function add
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for sub
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for sub
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function sub
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for div
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for div
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function div
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for mul
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for mul
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function mul
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Range graph generated
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for add
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for add
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function add
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for sub
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for sub
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function sub
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for div
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for div
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function div
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for mul
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for mul
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function mul
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for init
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for init
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Range graph generated
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function init
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for SetPrcntRate
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Return summary generated for SetPrcntRate
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Range graph generated
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Processed function SetPrcntRate
[INFO] | 2024-11-10 07:41:11 AM | analyzer.0xacb8a40073d0a7e041b29381debcafc2b538cd7c | Generating return summary for Deposit
