[INFO] | 2024-11-10 07:40:52 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Analysis started at: 2024-11-10 07:40:52 AM
[INFO] | 2024-11-10 07:40:54 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:40:54 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | solc version: v0.4.18
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Callgraph generation started!
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Value Range Analysis started
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Range graph generated
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Processed function totalSupply
[INFO] | 2024-11-10 07:40:55 AM | analyzer.0xf145cc0345f95d45ea5fda21ef8abd1b824cbe0d | Generating return summary for balanceOf
