[INFO] | 2024-11-10 07:37:54 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Analysis started at: 2024-11-10 07:37:54 AM
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | solc version: v0.4.13
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Processed function transfer
