[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Analysis started at: 2024-11-10 07:38:07 AM
[INFO] | 2024-11-10 07:38:08 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:38:08 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | solc version: v0.4.13
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Processed function transfer
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Processed function balanceOf
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Generating return summary for Crowdsale
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Return summary generated for Crowdsale
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Range graph generated
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Processed function Crowdsale
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Range graph generated
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Range graph generated
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Processed function fallback
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Generating return summary for unsoldTokensBack
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Return summary generated for unsoldTokensBack
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Range graph generated
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Processed function unsoldTokensBack
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Value Range Analysis took 0.004754 seconds
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Dependency detection started!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Static Analysis took 1.663695 seconds
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Dependency does not exist
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Analysis finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Analysis took 1.663917 seconds
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x6cd171ef32b2ffa2b54481bea9d72692cd44f053 | Analysis finished at: 2024-11-10 07:38:09 AM

real	0m3.395s
user	0m4.068s
sys	0m1.843s
