[INFO] | 2024-11-10 07:37:52 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Analysis started at: 2024-11-10 07:37:52 AM
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Version constraints: ['^0.4.15']
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | solc version: v0.4.15
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for owned
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for owned
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Range graph generated
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function owned
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function transfer
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function transferFrom
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for approve
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for approve
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function approve
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for allowance
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for allowance
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function allowance
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for ownerOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for ownerOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function ownerOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for approve
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for approve
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function approve
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function transfer
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function transferFrom
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for supportsInterface
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for supportsInterface
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function supportsInterface
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for owned
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for owned
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Range graph generated
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function owned
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function fallback
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for sweep
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for sweep
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function sweep
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x9bf7b6be208672cabbb671a3438c60c1ecb13061 | Generating return summary for sweepToken
