[INFO] | 2024-11-10 07:43:43 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Analysis started at: 2024-11-10 07:43:43 AM
[INFO] | 2024-11-10 07:43:43 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:43:43 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | solc version: v0.4.18
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Callgraph generation started!
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Callgraph generation finished!
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Value Range Analysis started
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Generating return summary for transfer
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Return summary generated for transfer
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Processed function transfer
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Generating return summary for constructor
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Return summary generated for constructor
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Range graph generated
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Processed function constructor
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Processed function onlyOwner
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Generating return summary for constructor
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Return summary generated for constructor
[INFO] | 2024-11-10 07:43:44 AM | analyzer.0xfb0f7189b354660e649ae14261a9fe0e8febf369 | Range graph generated
