[INFO] | 2024-11-10 07:38:15 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Analysis started at: 2024-11-10 07:38:15 AM
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Version constraints: ['0.4.19']
[INFO] | 2024-11-10 07:38:22 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | solc version: v0.4.19
[INFO] | 2024-11-10 07:38:26 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:26 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:26 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:26 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:26 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Range graph generated
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Range graph generated
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Processed function Ownable
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x04f062809b244e37e7fdc21d9409469c989c2342 | Processed function onlyOwner
